EMPLOYMENT STATUS,DAILY WAGE WORKER/CASUAL LABOUR,SALARIED - PERMANENT,SALARIED - TEMPORARY,SELF-EMPLOYED,UNEMPLOYED (NOT WILLING & NOT LOOKING FOR A JOB),UNEMPLOYED (WILLING & LOOKING FOR A JOB),UNEMPLOYED (WILLING BUT NOT LOOKING FOR A JOB)
JAN-APR 2018,99,77.85,95.84,95.08,90.16,93.92,86.99
MAY-AUG 2018,98.75,74.29,95.45,95.02,89.42,94.61,85.31
SEP-DEC 2018,98.4,73.27,95.44,94.59,89.16,94.32,77.99
JAN-APR 2019,98.46,70.79,95.49,94.42,88.65,91.97,82.024
MAY-AUG 2019,98.26,70.75,95.72,94.32,88.66,94.33,83.05
SEP-DEC 2019,98.05,69.4,94.97,93.81,88.16,88.76,86.83
JAN-APR 2020,99.24,76.88,96.77,96.06,92.02,97.28,97.26
MAY-AUG 2020,98.92,82.03,94.91,97.42,94.41,98.4,98.39
SEP-DEC 2020,99.17,80,97.44,97.3,94.11,98.64,93.7
JAN-APR 2021,98.83,75.8,97.15,96.87,93.18,95.3,93.02
MAY-AUG 2021,99.22,81.91,99.86,97.18,95.2,97.77,94
SEP-DEC 2021,99.52,84.64,99.08,97.7,95.48,95.77,93.7
