EDUCATION,NO EDUCATION,UPTO PRIMARY SCHOOL,UPTO MIDDLE SCHOOL,UPTO LOWER SECONDARY SCHOOL,UPTO HIGHER SECONDARY SCHOOL,FINISHED SECONDARY SCHOOL,GRADUATE,POST GRADUATE,PH.D/M.PHIL
Jan-Apr 2018,72.58,75.7,57.02,53.99,41.07,36.29,25.42,16.83,13.82
May-Aug 2018,75.6,73.87,56.5,52.83,40.87,36.85,24.28,15.69,18.36
Sep-Dec 2018,78.86,72.1,56.63,52.42,41.26,37.62,24.49,15.17,7.63
Jan-Apr 2019,78.34,72.79,58.31,53.96,42.93,39.72,26.94,17.26,8.55
May-Aug 2019,78.85,69.03,55.14,51.34,40.01,37.22,24.41,15.26,11.67
Sep-Dec 2019,81.05,67.21,54.36,49.45,38.54,35.61,24.29,16.48,20.67
Jan-Apr 2020,77.57,67.22,54.4,48.77,38.08,35.28,23.41,16.29,15.74
May-Aug 2020,70.57,75.14,56.28,48.7,39,34.08,19.48,11.09,12.9
Sep-Dec 2020,76.64,78.85,58.4,49.08,40.5,35.42,20.67,9.22,2.52
Jan-Apr 2021,82.81,72.56,57.29,48.66,40.72,36.75,22.95,11.55,3.38
May-Aug 2021,85.61,76.45,60.39,51.79,44.26,39.78,24.53,12.93,4.7
Sep-Dec 2021,89.02,74.51,59.96,52.2,44.44,41.35,28.65,16.19,7.85
